date,weekday,open,close,high,low,openNow,openNowFake,openForward,OpenM1
2022-11-04,(週五),1.1154,1.1371,1.1382,1.1145,1.1315,1.1389,,1.1315
2022-11-07,(週一),1.1315,1.1510,1.1542,1.1291,1.1509,1.1154,,1.1509
2022-11-08,(週二),1.1509,1.1523,1.1599,1.1430,1.1539,1.1315,,1.1539
2022-11-09,(週三),1.1539,1.1342,1.1567,1.1332,1.1351,1.1509,,1.1351
2022-11-10,(週四),1.1351,1.1675,1.1731,1.1350,1.1715,1.1539,,1.1715
2022-11-11,(週五),1.1715,1.1832,1.1855,1.1647,1.1776,1.1351,,1.1776
2022-11-14,(週一),1.1776,1.1750,1.1829,1.1710,1.1749,1.1715,,1.1749
2022-11-15,(週二),1.1749,1.1848,1.2029,1.1741,1.1854,1.1776,,1.1854
2022-11-16,(週三),1.1854,1.1910,1.1942,1.1831,1.1909,1.1749,,1.1909
2022-11-17,(週四),1.1909,1.1866,1.1958,1.1762,1.1802,1.1854,,1.1802
2022-11-18,(週五),1.1802,1.1884,1.1951,1.1856,1.1887,1.1909,,1.1887
2022-11-21,(週一),1.1887,1.1815,1.1894,1.1779,1.1819,1.1802,,1.1819
2022-11-22,(週二),1.1819,1.1883,1.1903,1.1816,1.1882,1.1887,,1.1882
2022-11-23,(週三),1.1882,1.2051,1.2081,1.1872,1.2048,1.1819,,1.2048
2022-11-24,(週四),1.2048,1.2107,1.2154,1.2047,1.2109,1.1882,,1.2109
2022-11-25,(週五),1.2109,1.2076,1.2128,1.2058,1.2061,1.2048,,1.2061
2022-11-28,(週一),1.2061,1.1945,1.2118,1.1939,1.1952,1.2109,,1.1952
2022-11-29,(週二),1.1952,1.1950,1.2064,1.1941,1.1952,1.2061,,1.1952
2022-11-30,(週三),1.1952,1.2046,1.2087,1.1900,1.2053,1.1952,,1.2053
2022-12-01,(週四),1.2053,1.2250,1.2311,1.2050,1.2256,1.1952,,1.2256
2022-12-02,(週五),1.2256,1.2291,1.2300,1.2134,1.2272,1.2053,,1.2272
